char,sourceFile,motion,frame,manifestBodyBounds_w,manifestBodyBounds_h,manifestVisualBounds_w,manifestVisualBounds_h,manifestFootAnchor_x,manifestFootAnchor_y,manifestOffset_x,manifestOffset_y,manifestBattleScale,myAlphaBBox_w,myAlphaBBox_h,myAlphaBBox_footY,myAlphaBBox_centerX,manifestVsAlpha_heightDeltaPx,automatedFaceTemplateMatchScale_UNRELIABLE,automatedMatchConfidence_UNRELIABLE,visualJudgement,causeCandidate,comment
bullet,assets/art/runtime/bullet/p1/legacy_sway/sway.png,pose:sway,sway,302,326,373,326,190,327.765,-190,-327.765,0.5,374,326,327,187.5,0,0.2826086956521739,0.7773872017860413,OK,N/A (no anomaly found on visual review),
bullet,assets/art/runtime/bullet/p1/downset/ult_charge.png,pose:ult_charge,ult_charge,399,226,418,226,215.5,247.864,-215.5,-247.864,0.5,418,226,227,210.5,0,0.25,0.7490040063858032,OK,N/A (no anomaly found on visual review),
bullet,assets/art/runtime/bullet/p1/common_basic/victory.png,pose:victory,victory,306,361,365,361,187,421.885,-187,-421.885,0.5,365,361,360,182.0,0,1.1304347826086958,0.7562795281410217,OK,N/A (no anomaly found on visual review),
bullet,assets/art/runtime/bullet/p1/cmd_01/f1.png,cmd_01,F1,236,287,291,287,151,288.767,-151,-288.767,0.5,291,287,288,147.0,0,0.9021739130434783,0.8765234351158142,OK,N/A (no anomaly found on visual review),
bullet,assets/art/runtime/bullet/p1/cmd_01/f2.png,cmd_01,F2,291,251,315,251,152.5,254.254,-152.5,-254.254,0.5,315,251,252,157.0,0,0.25,0.7679883241653442,OK,N/A (no anomaly found on visual review),
bullet,assets/art/runtime/bullet/p1/cmd_01/f3.png,cmd_01,F3,307,262,331,262,153.5,263.765,-153.5,-263.765,0.5,331,262,263,165.0,0,0.7065217391304348,0.7565461993217468,OK,N/A (no anomaly found on visual review),
bullet,assets/art/runtime/bullet/p1/cmd_01/f4.png,cmd_01,F4,249,269,289,269,154.5,270.768,-154.5,-270.768,0.5,289,269,270,146.0,0,0.8695652173913043,0.8522632122039795,OK,N/A (no anomaly found on visual review),
bullet,assets/art/runtime/bullet/p1/cmd_02/f1.png,cmd_02,F1,224,260,251,260,129,284.136,-129,-284.136,0.5,251,260,261,127.0,0,0.7717391304347826,0.8935336470603943,OK,N/A (no anomaly found on visual review),
bullet,assets/art/runtime/bullet/p1/cmd_02/f2.png,cmd_02,F2,260,251,273,251,130,266.152,-130,-266.152,0.5,273,252,252,136.0,1,0.25,0.7354139089584351,OK,N/A (no anomaly found on visual review),
bullet,assets/art/runtime/bullet/p1/cmd_02/f3.png,cmd_02,F3,244,239,326,239,160,240.771,-160,-240.771,0.5,326,239,240,162.5,0,0.25,0.6947417259216309,OK,N/A (no anomaly found on visual review),
bullet,assets/art/runtime/bullet/p1/cmd_02/f4.png,cmd_02,F4,202,277,282,277,172,283.23,-172,-283.23,0.5,282,278,278,142.5,1,0.7717391304347826,0.8855676651000977,OK,N/A (no anomaly found on visual review),
bullet,assets/art/runtime/bullet/p1/cmd_03/f1.png,cmd_03,F1,227,289,271,289,144.5,305.674,-144.5,-305.674,0.5,272,289,290,136.5,0,0.8369565217391304,0.905074954032898,OK,N/A (no anomaly found on visual review),
bullet,assets/art/runtime/bullet/p1/cmd_03/f2.png,cmd_03,F2,271,254,304,254,147.5,275.15,-147.5,-275.15,0.5,305,254,255,153.0,0,0.25,0.780241847038269,OK,N/A (no anomaly found on visual review),
bullet,assets/art/runtime/bullet/p1/cmd_03/f3.png,cmd_03,F3,168,368,226,368,119,369.768,-119,-369.768,0.5,226,368,369,114.5,0,0.7717391304347826,0.821855366230011,OK,N/A (no anomaly found on visual review),
bullet,assets/art/runtime/bullet/p1/cmd_03/f4.png,cmd_03,F4,240,286,270,286,133,302.641,-133,-302.641,0.5,270,286,287,134.5,0,0.8369565217391304,0.9084925651550293,OK,N/A (no anomaly found on visual review),
bullet,assets/art/runtime/bullet/p1/cmd_04/f1.png,cmd_04,F1,222,248,321,248,151,250.513,-151,-250.513,0.5,321,249,249,162.0,1,0.8043478260869565,0.8256171941757202,OK,N/A (no anomaly found on visual review),
bullet,assets/art/runtime/bullet/p1/cmd_04/f2.png,cmd_04,F2,242,203,328,203,121,204.766,-121,-204.766,0.5,328,203,204,163.5,0,0.25,0.7232380509376526,OK,N/A (no anomaly found on visual review),
bullet,assets/art/runtime/bullet/p1/cmd_04/f3.png,cmd_04,F3,331,156,331,162,165.5,164.511,-165.5,-164.511,0.5,331,162,163,165.0,0,0.25,0.5701116323471069,OK,N/A (no anomaly found on visual review),
bullet,assets/art/runtime/bullet/p1/cmd_04/f4.png,cmd_04,F4,255,239,277,239,146.5,242.257,-146.5,-242.257,0.5,277,240,240,140.0,1,0.8043478260869565,0.8483375906944275,OK,N/A (no anomaly found on visual review),
bullet,assets/art/runtime/bullet/p1/cmd_05/f1.png,cmd_05,F1,257,294,324,294,159.5,298.743,-159.5,-298.743,0.5,325,295,295,164.0,1,0.9021739130434783,0.8791549801826477,OK,N/A (no anomaly found on visual review),
bullet,assets/art/runtime/bullet/p1/cmd_05/f2.png,cmd_05,F2,271,259,288,259,138.5,267.47,-138.5,-267.47,0.5,288,259,260,143.5,0,0.34782608695652173,0.7487587332725525,OK,N/A (no anomaly found on visual review),
bullet,assets/art/runtime/bullet/p1/cmd_05/f3.png,cmd_05,F3,284,272,331,272,170,278.976,-170,-278.976,0.5,331,273,273,165.0,1,0.25,0.757470428943634,OK,N/A (no anomaly found on visual review),
bullet,assets/art/runtime/bullet/p1/cmd_05/f4.png,cmd_05,F4,242,294,300,294,163,295.771,-163,-295.771,0.5,301,295,295,150.0,1,0.8369565217391304,0.7835826873779297,OK,N/A (no anomaly found on visual review),
bullet,assets/art/runtime/bullet/p1/cmd_06/f1.png,cmd_06,F1,217,290,297,290,137.5,296.977,-137.5,-296.977,0.5,297,290,291,150.0,0,0.8369565217391304,0.8485119938850403,OK,N/A (no anomaly found on visual review),
bullet,assets/art/runtime/bullet/p1/cmd_06/f2.png,cmd_06,F2,257,273,311,273,128.5,279.234,-128.5,-279.234,0.5,311,273,274,155.0,0,0.8369565217391304,0.8497854471206665,OK,N/A (no anomaly found on visual review),
bullet,assets/art/runtime/bullet/p1/cmd_06/f3.png,cmd_06,F3,238,276,287,277,156,281,-156,-281,0.5,288,277,278,145.5,0,0.8043478260869565,0.8756751418113708,OK,N/A (no anomaly found on visual review),
bullet,assets/art/runtime/bullet/p1/cmd_06/f4.png,cmd_06,F4,220,287,263,287,136,288.767,-136,-288.767,0.5,263,287,288,131.0,0,0.41304347826086957,0.802092432975769,OK,N/A (no anomaly found on visual review),
bullet,assets/art/runtime/bullet/p1/cmd_07/f1.png,cmd_07,F1,214,246,315,246,131,247.768,-131,-247.768,0.5,316,246,247,159.5,0,0.7391304347826086,0.8460382223129272,OK,N/A (no anomaly found on visual review),
bullet,assets/art/runtime/bullet/p1/cmd_07/f2.png,cmd_07,F2,270,178,328,178,135,183.492,-135,-183.492,0.5,328,178,179,163.5,0,0.25,0.7216581106185913,OK,N/A (no anomaly found on visual review),
bullet,assets/art/runtime/bullet/p1/cmd_07/f3.png,cmd_07,F3,331,110,331,175,165.5,179,-165.5,-179,0.5,331,175,176,165.0,0,0.25,0.5274167656898499,OK,N/A (no anomaly found on visual review),
bullet,assets/art/runtime/bullet/p1/cmd_07/f4.png,cmd_07,F4,242,204,296,204,166,205.763,-166,-205.763,0.5,296,204,205,149.5,0,0.31521739130434784,0.7313175201416016,OK,N/A (no anomaly found on visual review),
bullet,assets/art/runtime/bullet/p1/grab/f1.png,grab,F1,253,296,297,296,155.5,299.256,-155.5,-299.256,0.5,299,296,297,150.0,0,0.9021739130434783,0.8851751685142517,OK,N/A (no anomaly found on visual review),
bullet,assets/art/runtime/bullet/p1/grab/f2.png,grab,F2,267,281,330,281,156.5,283.512,-156.5,-283.512,0.5,330,281,282,164.5,0,0.8043478260869565,0.7981128096580505,OK,N/A (no anomaly found on visual review),
bullet,assets/art/runtime/bullet/p1/grab/f3.png,grab,F3,260,292,294,292,158,295.254,-158,-295.254,0.5,294,292,293,148.5,0,0.8369565217391304,0.82710200548172,OK,N/A (no anomaly found on visual review),
bullet,assets/art/runtime/bullet/p1/grab/f4.png,grab,F4,237,292,268,292,137.5,293.763,-137.5,-293.763,0.5,268,292,293,133.5,0,0.8695652173913043,0.8909463882446289,OK,N/A (no anomaly found on visual review),
bullet,assets/art/runtime/bullet/p1/high/f1.png,high,F1,314,310,357,310,191,316.232,-191,-316.232,0.5,357,311,311,180.0,1,0.2826086956521739,0.8877983093261719,OK,N/A (no anomaly found on visual review),
bullet,assets/art/runtime/bullet/p1/high/f2.png,high,F2,296,304,347,304,185,309.488,-185,-309.488,0.5,347,305,305,175.0,1,0.9021739130434783,0.8143842220306396,OK,N/A (no anomaly found on visual review),
bullet,assets/art/runtime/bullet/p1/high/f3.png,high,F3,353,338,368,338,191.5,345.717,-191.5,-345.717,0.5,368,338,339,183.5,0,0.7717391304347826,0.8525770306587219,OK,N/A (no anomaly found on visual review),
bullet,assets/art/runtime/bullet/p1/high/f4.png,high,F4,205,311,339,336,189.5,337.768,-189.5,-337.768,0.5,339,336,337,169.0,0,0.9347826086956521,0.8696216344833374,OK,N/A (no anomaly found on visual review),
bullet,assets/art/runtime/bullet/p1/low/f1.png,low,F1,275,210,300,210,156.5,213.254,-156.5,-213.254,0.5,301,210,211,151.0,0,0.25,0.7765495181083679,OK,N/A (no anomaly found on visual review),
bullet,assets/art/runtime/bullet/p1/low/f2.png,low,F2,280,187,302,187,144,189.514,-144,-189.514,0.5,302,189,189,150.5,2,0.25,0.7654898166656494,OK,N/A (no anomaly found on visual review),
bullet,assets/art/runtime/bullet/p1/low/f3.png,low,F3,331,149,331,149,165.5,150.772,-165.5,-150.772,0.5,331,150,150,165.0,1,0.3804347826086957,0.7455083727836609,OK,N/A (no anomaly found on visual review),
bullet,assets/art/runtime/bullet/p1/low/f4.png,low,F4,252,172,268,172,140,174.515,-140,-174.515,0.5,268,172,173,135.5,0,0.25,0.7582686543464661,OK,N/A (no anomaly found on visual review),
bullet,assets/art/runtime/bullet/p1/mid/f1.png,mid,F1,279,294,321,294,171.5,297.257,-171.5,-297.257,0.5,322,295,295,162.5,1,0.8695652173913043,0.7602059841156006,OK,N/A (no anomaly found on visual review),
bullet,assets/art/runtime/bullet/p1/mid/f2.png,mid,F2,275,297,319,297,170.5,299.51,-170.5,-299.51,0.5,320,297,298,159.5,0,0.25,0.7653429508209229,OK,N/A (no anomaly found on visual review),
bullet,assets/art/runtime/bullet/p1/mid/f3.png,mid,F3,288,279,331,279,150,281.511,-150,-281.511,0.5,331,279,280,165.0,0,0.25,0.7515385150909424,OK,N/A (no anomaly found on visual review),
bullet,assets/art/runtime/bullet/p1/mid/f4.png,mid,F4,255,294,274,294,135.5,295.771,-135.5,-295.771,0.5,274,294,295,136.5,0,0.8695652173913043,0.8643592000007629,OK,N/A (no anomaly found on visual review),
bullet,assets/art/runtime/bullet/p1/mikiri/f1.png,mikiri,F1,257,284,300,284,159.5,287.256,-159.5,-287.256,0.5,300,284,285,151.5,0,0.8043478260869565,0.8710801601409912,OK,N/A (no anomaly found on visual review),
bullet,assets/art/runtime/bullet/p1/mikiri/f2.png,mikiri,F2,271,239,302,239,157.5,242.257,-157.5,-242.257,0.5,302,239,240,150.5,0,0.3804347826086957,0.7939306497573853,OK,N/A (no anomaly found on visual review),
bullet,assets/art/runtime/bullet/p1/mikiri/f3.png,mikiri,F3,314,216,323,216,168,221.492,-168,-221.492,0.5,324,216,217,162.5,0,0.25,0.7739128470420837,OK,N/A (no anomaly found on visual review),
bullet,assets/art/runtime/bullet/p1/mikiri/f4.png,mikiri,F4,241,271,282,271,149.5,272.77,-149.5,-272.77,0.5,282,272,272,142.5,1,0.7717391304347826,0.8796849250793457,OK,N/A (no anomaly found on visual review),
bullet,assets/art/runtime/bullet/p1/roar/f1.png,roar,F1,300,360,341,360,193,364.744,-193,-364.744,0.5,341,360,361,172.0,0,1.0,0.7934859991073608,OK,N/A (no anomaly found on visual review),
bullet,assets/art/runtime/bullet/p1/roar/f2.png,roar,F2,267,367,325,367,180.5,371.745,-180.5,-371.745,0.5,325,367,368,164.0,0,1.1630434782608696,0.814156711101532,OK,N/A (no anomaly found on visual review),
bullet,assets/art/runtime/bullet/p1/roar/f3.png,roar,F3,273,403,359,403,183.5,407.744,-183.5,-407.744,0.5,359,403,404,179.0,0,1.358695652173913,0.8000443577766418,OK,N/A (no anomaly found on visual review),
bullet,assets/art/runtime/bullet/p1/roar/f4.png,roar,F4,276,361,319,361,156,362.765,-156,-362.765,0.5,319,361,362,159.0,0,1.0978260869565217,0.8685043454170227,OK,N/A (no anomaly found on visual review),
chirka,assets/art/runtime/chirka/p1/legacy_crouch/crouch.png,pose:crouch,crouch,309,244,309,244,156.5,246.032,-156.5,-246.032,0.5,311,245,245,156.0,1,0.2826086956521739,0.5622903108596802,OK,N/A (no anomaly found on visual review),
chirka,assets/art/runtime/chirka/p1/legacy_crouch_atk/crouch_atk.png,pose:crouch_atk,crouch_atk,358,241,358,241,181,243.029,-181,-243.029,0.5,360,243,243,180.5,2,0.25,0.5907785296440125,OK,N/A (no anomaly found on visual review),
chirka,assets/art/runtime/chirka/p1/downset/down.png,pose:down,down,376,121,386,214,200,134.356,-200,-134.356,0.5,389,216,216,194.0,2,0.25,0.6848334074020386,OK,N/A (no anomaly found on visual review),
chirka,assets/art/runtime/chirka/p1/common_basic/flinch.png,pose:flinch,flinch,332,321,332,321,168,381.579,-168,-381.579,0.5,334,323,323,167.5,2,0.25,0.6972078084945679,OK,N/A (no anomaly found on visual review),
chirka,assets/art/runtime/chirka/p1/downset/getup.png,pose:getup,getup,324,219,324,219,164,221.027,-164,-221.027,0.5,326,220,220,163.5,1,0.34782608695652173,0.5365234613418579,OK,N/A (no anomaly found on visual review),
chirka,assets/art/runtime/chirka/p1/legacy_grabbed/grabbed.png,pose:grabbed,grabbed,296,229,296,229,150,231.025,-150,-231.025,0.5,297,231,231,149.0,2,0.25,0.754706084728241,OK,N/A (no anomaly found on visual review),
chirka,assets/art/runtime/chirka/p1/common_basic/guard.png,pose:guard,guard,290,328,290,328,147,330.028,-147,-330.028,0.5,292,330,330,146.5,2,0.25,0.5756266713142395,OK,N/A (no anomaly found on visual review),
chirka,assets/art/runtime/chirka/p1/common_basic/idle.png,pose:idle,idle,307,337,307,337,155.5,339.029,-155.5,-339.029,0.5,309,339,339,155.0,2,0.25,0.5710384249687195,OK,N/A (no anomaly found on visual review),
chirka,assets/art/runtime/chirka/p1/downset/ko.png,pose:ko,ko,378,137,378,137,191,173.791,-191,-173.791,0.5,380,139,139,190.5,2,0.44565217391304346,0.6840094327926636,OK,N/A (no anomaly found on visual review),
chirka,assets/art/runtime/chirka/p1/legacy_lunge/lunge.png,pose:lunge,lunge,332,281,332,281,168,283.03,-168,-283.03,0.5,333,283,283,168.0,2,0.25,0.6065219044685364,OK,N/A (no anomaly found on visual review),
chirka,assets/art/runtime/chirka/p1/legacy_sway/sway.png,pose:sway,sway,266,327,266,327,135,329.03,-135,-329.03,0.5,267,329,329,135.0,2,0.25,0.7891412377357483,OK,N/A (no anomaly found on visual review),
chirka,assets/art/runtime/chirka/p1/downset/ult_charge.png,pose:ult_charge,ult_charge,291,250,291,250,147.5,252.026,-147.5,-252.026,0.5,293,251,252,147.0,1,0.41304347826086957,0.5952640771865845,OK,N/A (no anomaly found on visual review),
chirka,assets/art/runtime/chirka/p1/common_basic/victory.png,pose:victory,victory,279,336,279,336,141.5,385.377,-141.5,-385.377,0.5,281,338,338,141.0,2,0.25,0.8083255290985107,OK,N/A (no anomaly found on visual review),
chirka,assets/art/runtime/chirka/p1/cmd_01/f1.png,cmd_01,F1,233,273,233,273,118.5,277,-118.5,-277,0.5,234,275,275,118.5,2,0.25,0.5587514638900757,OK,N/A (no anomaly found on visual review),
chirka,assets/art/runtime/chirka/p1/cmd_01/f2.png,cmd_01,F2,265,252,265,252,132.5,254.684,-132.5,-254.684,0.5,265,254,254,132.0,2,0.25,0.7388899326324463,OK,N/A (no anomaly found on visual review),
chirka,assets/art/runtime/chirka/p1/cmd_01/f3.png,cmd_01,F3,292,257,292,257,146,259.685,-146,-259.685,0.5,292,259,259,145.5,2,0.3804347826086957,0.5732187032699585,OK,N/A (no anomaly found on visual review),
chirka,assets/art/runtime/chirka/p1/cmd_01/f4.png,cmd_01,F4,250,252,250,252,125,254.026,-125,-254.026,0.5,251,253,253,125.0,1,0.25,0.5552570819854736,OK,N/A (no anomaly found on visual review),
chirka,assets/art/runtime/chirka/p1/cmd_02/f1.png,cmd_02,F1,228,266,228,266,116,271.314,-116,-271.314,0.5,230,268,268,115.5,2,0.44565217391304346,0.5680357217788696,OK,N/A (no anomaly found on visual review),
chirka,assets/art/runtime/chirka/p1/cmd_02/f2.png,cmd_02,F2,250,251,250,251,125,256.314,-125,-256.314,0.5,251,253,253,125.0,2,0.8369565217391304,0.5771644115447998,OK,N/A (no anomaly found on visual review),
chirka,assets/art/runtime/chirka/p1/cmd_02/f3.png,cmd_02,F3,275,261,275,261,137.5,263.685,-137.5,-263.685,0.5,275,263,263,137.0,2,0.25,0.5731257200241089,OK,N/A (no anomaly found on visual review),
chirka,assets/art/runtime/chirka/p1/cmd_02/f4.png,cmd_02,F4,230,262,239,273,125,275.026,-125,-275.026,0.5,240,274,274,119.5,1,0.5760869565217391,0.683143138885498,OK,N/A (no anomaly found on visual review),
chirka,assets/art/runtime/chirka/p1/cmd_03/f1.png,cmd_03,F1,230,268,230,268,117,272,-117,-272,0.5,230,270,270,116.5,2,0.25,0.5851526260375977,OK,N/A (no anomaly found on visual review),
chirka,assets/art/runtime/chirka/p1/cmd_03/f2.png,cmd_03,F2,275,251,275,251,137.5,255.657,-137.5,-255.657,0.5,275,253,253,137.0,2,0.25,0.7138087153434753,OK,N/A (no anomaly found on visual review),
chirka,assets/art/runtime/chirka/p1/cmd_03/f3.png,cmd_03,F3,269,237,269,237,136.5,239.687,-136.5,-239.687,0.5,270,239,239,135.5,2,0.2826086956521739,0.5684512257575989,OK,N/A (no anomaly found on visual review),
chirka,assets/art/runtime/chirka/p1/cmd_03/f4.png,cmd_03,F4,237,260,237,260,120.5,262.025,-120.5,-262.025,0.5,239,262,262,120.0,2,0.2826086956521739,0.5722770690917969,OK,N/A (no anomaly found on visual review),
chirka,assets/art/runtime/chirka/p1/cmd_04/f1.png,cmd_04,F1,228,263,228,263,116,265.032,-116,-265.032,0.5,229,265,265,116.0,2,0.25,0.5920741558074951,OK,N/A (no anomaly found on visual review),
chirka,assets/art/runtime/chirka/p1/cmd_04/f2.png,cmd_04,F2,263,239,263,239,131.5,244.314,-131.5,-244.314,0.5,264,241,241,131.5,2,0.34782608695652173,0.5817441344261169,OK,N/A (no anomaly found on visual review),
chirka,assets/art/runtime/chirka/p1/cmd_04/f3.png,cmd_04,F3,231,251,231,261,117.5,255.161,-117.5,-255.161,0.5,232,263,263,116.5,2,0.25,0.7363734841346741,OK,N/A (no anomaly found on visual review),
chirka,assets/art/runtime/chirka/p1/cmd_04/f4.png,cmd_04,F4,248,220,248,220,124,223.343,-124,-223.343,0.5,248,222,222,123.5,2,0.25,0.629138708114624,OK,N/A (no anomaly found on visual review),
chirka,assets/art/runtime/chirka/p1/cmd_05/f1.png,cmd_05,F1,214,256,214,256,109,262.626,-109,-262.626,0.5,216,257,257,108.5,1,0.25,0.5681002140045166,OK,N/A (no anomaly found on visual review),
chirka,assets/art/runtime/chirka/p1/cmd_05/f2.png,cmd_05,F2,271,208,271,208,135.5,211.342,-135.5,-211.342,0.5,271,209,209,135.0,1,0.31521739130434784,0.5829468965530396,OK,N/A (no anomaly found on visual review),
chirka,assets/art/runtime/chirka/p1/cmd_05/f3.png,cmd_05,F3,275,216,275,216,137.5,220.657,-137.5,-220.657,0.5,275,218,218,137.0,2,0.34782608695652173,0.5840919613838196,OK,N/A (no anomaly found on visual review),
chirka,assets/art/runtime/chirka/p1/cmd_05/f4.png,cmd_05,F4,263,197,263,197,131.5,199.029,-131.5,-199.029,0.5,264,198,198,131.5,1,0.25,0.6054526567459106,OK,N/A (no anomaly found on visual review),
chirka,assets/art/runtime/chirka/p1/cmd_06/f1.png,cmd_06,F1,237,281,237,281,120.5,284.342,-120.5,-284.342,0.5,238,283,283,119.5,2,0.25,0.6100082397460938,OK,N/A (no anomaly found on visual review),
chirka,assets/art/runtime/chirka/p1/cmd_06/f2.png,cmd_06,F2,245,278,245,278,124.5,283.315,-124.5,-283.315,0.5,246,280,280,124.5,2,0.25,0.5787698030471802,OK,N/A (no anomaly found on visual review),
chirka,assets/art/runtime/chirka/p1/cmd_06/f3.png,cmd_06,F3,259,288,259,288,131.5,291.344,-131.5,-291.344,0.5,260,289,289,130.5,1,0.3804347826086957,0.550178587436676,OK,N/A (no anomaly found on visual review),
chirka,assets/art/runtime/chirka/p1/cmd_06/f4.png,cmd_06,F4,222,271,231,271,122,273.026,-122,-273.026,0.5,232,273,273,116.5,2,0.25,0.5605306625366211,OK,N/A (no anomaly found on visual review),
chirka,assets/art/runtime/chirka/p1/cmd_07/f1.png,cmd_07,F1,216,253,235,253,110,255.028,-110,-255.028,0.5,237,255,255,119.0,2,0.25,0.6644222140312195,OK,N/A (no anomaly found on visual review),
chirka,assets/art/runtime/chirka/p1/cmd_07/f2.png,cmd_07,F2,239,189,239,198,119.5,204.632,-119.5,-204.632,0.5,240,200,200,119.5,2,0.25,0.5600855946540833,OK,N/A (no anomaly found on visual review),
chirka,assets/art/runtime/chirka/p1/cmd_07/f3.png,cmd_07,F3,275,165,275,166,137.5,192.317,-137.5,-192.317,0.5,275,168,168,137.0,2,0.41304347826086957,0.5758910775184631,OK,N/A (no anomaly found on visual review),
chirka,assets/art/runtime/chirka/p1/cmd_07/f4.png,cmd_07,F4,247,177,247,192,125.5,194.027,-125.5,-194.027,0.5,249,194,194,125.0,2,0.31521739130434784,0.6182467341423035,OK,N/A (no anomaly found on visual review),
chirka,assets/art/runtime/chirka/p1/grab/f1.png,grab,F1,230,260,230,260,117,262.683,-117,-262.683,0.5,232,261,261,116.5,1,0.44565217391304346,0.5446956753730774,OK,N/A (no anomaly found on visual review),
chirka,assets/art/runtime/chirka/p1/grab/f2.png,grab,F2,291,255,291,255,145.5,257.028,-145.5,-257.028,0.5,291,257,257,145.0,2,0.31521739130434784,0.590316653251648,OK,N/A (no anomaly found on visual review),
chirka,assets/art/runtime/chirka/p1/grab/f3.png,grab,F3,285,244,285,244,143.5,246.688,-143.5,-246.688,0.5,286,246,246,143.5,2,0.25,0.5385453104972839,OK,N/A (no anomaly found on visual review),
chirka,assets/art/runtime/chirka/p1/grab/f4.png,grab,F4,231,260,231,260,117.5,262.683,-117.5,-262.683,0.5,233,261,261,117.0,1,0.25,0.544215202331543,OK,N/A (no anomaly found on visual review),
chirka,assets/art/runtime/chirka/p1/high/f1.png,high,F1,246,322,246,322,125,326.657,-125,-326.657,0.5,248,324,324,124.5,2,0.25,0.6566413640975952,OK,N/A (no anomaly found on visual review),
chirka,assets/art/runtime/chirka/p1/high/f2.png,high,F2,254,319,254,319,129,325.631,-129,-325.631,0.5,256,321,321,128.5,2,0.31521739130434784,0.5982524752616882,OK,N/A (no anomaly found on visual review),
chirka,assets/art/runtime/chirka/p1/high/f3.png,high,F3,267,380,267,394,133.5,396.026,-133.5,-396.026,0.5,267,396,396,133.0,2,0.5108695652173914,0.6804358959197998,OK,N/A (no anomaly found on visual review),
chirka,assets/art/runtime/chirka/p1/high/f4.png,high,F4,246,290,246,290,123,292.031,-123,-292.031,0.5,247,292,292,123.0,2,0.2826086956521739,0.6916598677635193,OK,N/A (no anomaly found on visual review),
chirka,assets/art/runtime/chirka/p1/low/f1.png,low,F1,246,192,246,192,125,194.033,-125,-194.033,0.5,248,194,194,124.5,2,0.31521739130434784,0.6173735857009888,OK,N/A (no anomaly found on visual review),
chirka,assets/art/runtime/chirka/p1/low/f2.png,low,F2,275,162,275,162,139.5,164.688,-139.5,-164.688,0.5,277,164,164,139.0,2,0.25,0.5965158343315125,OK,N/A (no anomaly found on visual review),
chirka,assets/art/runtime/chirka/p1/low/f3.png,low,F3,284,142,284,142,144,144.685,-144,-144.685,0.5,285,144,144,143.0,2,0.25,0.6260010600090027,OK,N/A (no anomaly found on visual review),
chirka,assets/art/runtime/chirka/p1/low/f4.png,low,F4,203,162,203,162,103.5,164.683,-103.5,-164.683,0.5,204,164,164,102.5,2,0.25,0.5281839370727539,OK,N/A (no anomaly found on visual review),
chirka,assets/art/runtime/chirka/p1/mid/f1.png,mid,F1,237,283,237,283,120.5,287,-120.5,-287,0.5,239,285,285,120.0,2,0.25,0.6553575396537781,OK,N/A (no anomaly found on visual review),
